ProductActivity__createdAt,ProductActivity__shoeSize,ProductActivity__localAmount
08/04/2021,9.5,1706
04/04/2021,9.5,2515
29/03/2021,9.5,2090
23/03/2021,9.5,2021
11/03/2021,9.5,2000
26/02/2021,9.5,2008
25/02/2021,9.5,2080
21/02/2021,9.5,2192
12/02/2021,9.5,2000
12/02/2021,9.5,2000
08/02/2021,9.5,1700
04/02/2021,9.5,2294
01/02/2021,9.5,1832
29/01/2021,9.5,2424
28/01/2021,9.5,1821
25/01/2021,9.5,1944
04/01/2021,9.5,2442
14/12/2020,9.5,1800
08/12/2020,9.5,1601
06/12/2020,9.5,1606
03/12/2020,9.5,1799
01/12/2020,9.5,1540
30/11/2020,9.5,1775
28/11/2020,9.5,1740
26/11/2020,9.5,1599
23/11/2020,9.5,1829
18/11/2020,9.5,1528
11/11/2020,9.5,1580
10/11/2020,9.5,1800
04/11/2020,9.5,1651
28/10/2020,9.5,2272
24/10/2020,9.5,1505
15/10/2020,9.5,1600
13/10/2020,9.5,1800
09/10/2020,9.5,1630
07/10/2020,9.5,1864
06/10/2020,9.5,1525
25/09/2020,9.5,1800
23/09/2020,9.5,1526
19/09/2020,9.5,1531
14/09/2020,9.5,1565
03/09/2020,9.5,1522
02/09/2020,9.5,1550
04/08/2020,9.5,1900
28/07/2020,9.5,1900
26/07/2020,9.5,1801
24/07/2020,9.5,1410
23/07/2020,9.5,1799
18/07/2020,9.5,1600
14/07/2020,9.5,1510
13/07/2020,9.5,1481
08/07/2020,9.5,1607
06/07/2020,9.5,1600
04/07/2020,9.5,1599
03/07/2020,9.5,1641
02/07/2020,9.5,1540
29/06/2020,9.5,1400
29/06/2020,9.5,1500
29/06/2020,9.5,1636
20/06/2020,9.5,1526
19/06/2020,9.5,1768
14/06/2020,9.5,1699
06/06/2020,9.5,1795
02/06/2020,9.5,1450
02/06/2020,9.5,1420
28/05/2020,9.5,1601
25/05/2020,9.5,1600
15/05/2020,9.5,1936
15/05/2020,9.5,1800
14/05/2020,9.5,1777
08/05/2020,9.5,1600
30/04/2020,9.5,1385
27/04/2020,9.5,1190
22/04/2020,9.5,1360
07/04/2020,9.5,1057
28/03/2020,9.5,1100
24/03/2020,9.5,1100
22/03/2020,9.5,900
21/03/2020,9.5,1099
16/03/2020,9.5,1000
15/03/2020,9.5,1100
09/03/2020,9.5,1100
02/03/2020,9.5,1001
28/02/2020,9.5,1150
28/02/2020,9.5,1050
27/02/2020,9.5,1085
27/02/2020,9.5,1087
20/02/2020,9.5,1150
14/02/2020,9.5,1100
11/02/2020,9.5,1000
08/02/2020,9.5,905
30/01/2020,9.5,1250
28/01/2020,9.5,1175
15/01/2020,9.5,1199
11/01/2020,9.5,1042
08/01/2020,9.5,800
07/01/2020,9.5,1100
05/01/2020,9.5,970
03/01/2020,9.5,990
02/01/2020,9.5,860
31/12/2019,9.5,910
19/12/2019,9.5,805
06/12/2019,9.5,1031
05/12/2019,9.5,1020
02/12/2019,9.5,870
28/11/2019,9.5,820
27/11/2019,9.5,1000
25/11/2019,9.5,950
24/11/2019,9.5,850
21/11/2019,9.5,890
20/11/2019,9.5,900
11/11/2019,9.5,1015
11/11/2019,9.5,990
07/11/2019,9.5,781
06/11/2019,9.5,782
30/10/2019,9.5,995
23/10/2019,9.5,850
17/10/2019,9.5,750
17/10/2019,9.5,751
07/10/2019,9.5,999
07/10/2019,9.5,988
03/10/2019,9.5,945
03/10/2019,9.5,820
03/10/2019,9.5,839
18/09/2019,9.5,950
11/09/2019,9.5,855
05/09/2019,9.5,840
28/08/2019,9.5,859
12/08/2019,9.5,985
10/08/2019,9.5,900
09/08/2019,9.5,950
04/08/2019,9.5,925
02/08/2019,9.5,880
31/07/2019,9.5,803
30/07/2019,9.5,803
26/07/2019,9.5,810
19/07/2019,9.5,890
18/07/2019,9.5,936
17/07/2019,9.5,925
08/07/2019,9.5,950
07/07/2019,9.5,949
04/07/2019,9.5,900
04/07/2019,9.5,865
03/07/2019,9.5,940
03/07/2019,9.5,935
28/06/2019,9.5,825
25/06/2019,9.5,830
23/06/2019,9.5,825
23/06/2019,9.5,787
22/06/2019,9.5,780
13/06/2019,9.5,870
12/06/2019,9.5,800
11/06/2019,9.5,865
10/06/2019,9.5,860
07/06/2019,9.5,870
04/06/2019,9.5,900
03/06/2019,9.5,875
29/05/2019,9.5,850
23/05/2019,9.5,890
22/05/2019,9.5,803
20/05/2019,9.5,818
19/05/2019,9.5,810
15/05/2019,9.5,832
14/05/2019,9.5,890
13/05/2019,9.5,803
04/05/2019,9.5,801
02/05/2019,9.5,895
26/04/2019,9.5,889
24/04/2019,9.5,801
21/04/2019,9.5,804
15/04/2019,9.5,826
08/04/2019,9.5,851
27/03/2019,9.5,800
26/03/2019,9.5,880
20/03/2019,9.5,932
19/03/2019,9.5,950
28/02/2019,9.5,925
27/02/2019,9.5,910
17/02/2019,9.5,890
17/02/2019,9.5,880
14/02/2019,9.5,885
11/02/2019,9.5,785
09/02/2019,9.5,815
06/02/2019,9.5,800
04/02/2019,9.5,807
27/01/2019,9.5,750
23/01/2019,9.5,875
23/01/2019,9.5,850
14/01/2019,9.5,815
09/01/2019,9.5,785
06/01/2019,9.5,875
04/01/2019,9.5,873
04/01/2019,9.5,870
18/12/2018,9.5,870
07/12/2018,9.5,875
05/12/2018,9.5,840
26/11/2018,9.5,830
16/11/2018,9.5,850
15/11/2018,9.5,841
15/11/2018,9.5,760
12/11/2018,9.5,775
