ProductActivity__createdAt,ProductActivity__shoeSize,ProductActivity__localAmount
14/04/2021,9,1830
14/04/2021,9,2250
07/04/2021,9,2100
30/03/2021,9,2090
21/03/2021,9,2098
20/03/2021,9,2098
14/03/2021,9,2041
14/03/2021,9,2040
14/02/2021,9,2026
13/02/2021,9,1716
02/02/2021,9,2300
30/01/2021,9,2083
19/01/2021,9,1877
10/12/2020,9,1999
03/12/2020,9,1700
30/11/2020,9,1786
30/11/2020,9,1650
15/11/2020,9,1850
03/11/2020,9,1661
20/10/2020,9,1550
19/10/2020,9,1776
05/10/2020,9,1653
02/10/2020,9,1876
04/09/2020,9,1799
28/08/2020,9,1867
23/08/2020,9,1550
08/08/2020,9,1944
04/08/2020,9,1644
31/07/2020,9,1875
27/07/2020,9,1845
27/07/2020,9,1650
25/07/2020,9,1587
23/07/2020,9,1714
20/07/2020,9,1719
22/06/2020,9,1799
14/06/2020,9,1555
05/06/2020,9,1850
02/06/2020,9,1635
30/05/2020,9,1700
30/05/2020,9,1999
21/05/2020,9,1600
10/05/2020,9,1321
09/05/2020,9,1650
28/04/2020,9,1485
18/04/2020,9,1431
17/04/2020,9,1275
11/04/2020,9,1200
31/03/2020,9,1150
24/03/2020,9,1050
17/03/2020,9,1001
12/03/2020,9,1197
11/03/2020,9,1196
09/03/2020,9,1000
09/03/2020,9,1092
02/03/2020,9,975
02/03/2020,9,1000
29/02/2020,9,1095
21/02/2020,9,1140
20/02/2020,9,950
17/02/2020,9,988
07/02/2020,9,1044
01/02/2020,9,980
31/01/2020,9,1025
30/01/2020,9,940
15/01/2020,9,1100
10/01/2020,9,1060
09/01/2020,9,1000
05/01/2020,9,930
31/12/2019,9,892
29/12/2019,9,1000
29/12/2019,9,1265
24/12/2019,9,1249
23/12/2019,9,900
23/12/2019,9,955
20/12/2019,9,910
16/12/2019,9,860
10/12/2019,9,965
05/12/2019,9,926
30/11/2019,9,999
22/11/2019,9,845
20/11/2019,9,900
20/11/2019,9,876
14/11/2019,9,900
10/11/2019,9,880
08/11/2019,9,875
08/10/2019,9,990
07/10/2019,9,841
07/10/2019,9,955
07/10/2019,9,879
03/10/2019,9,920
20/09/2019,9,945
14/09/2019,9,824
13/09/2019,9,840
06/09/2019,9,846
02/09/2019,9,973
01/09/2019,9,865
01/09/2019,9,936
30/08/2019,9,978
29/08/2019,9,999
27/08/2019,9,970
22/08/2019,9,930
15/08/2019,9,881
13/08/2019,9,945
12/08/2019,9,945
10/08/2019,9,912
06/08/2019,9,909
02/08/2019,9,890
28/07/2019,9,920
23/07/2019,9,910
19/07/2019,9,955
17/07/2019,9,970
16/07/2019,9,1000
09/07/2019,9,1023
03/07/2019,9,950
02/07/2019,9,901
02/07/2019,9,960
28/06/2019,9,915
28/06/2019,9,860
21/06/2019,9,975
18/06/2019,9,925
