ProductActivity__createdAt,ProductActivity__shoeSize,ProductActivity__localAmount
06/04/2021,8,1809
01/03/2021,8,1750
15/01/2021,8,1690
13/01/2021,8,1600
04/12/2020,8,1850
27/11/2020,8,1535
05/11/2020,8,1500
03/08/2020,8,1875
17/07/2020,8,1827
13/07/2020,8,1593
03/07/2020,8,1805
12/06/2020,8,1601
18/05/2020,8,1600
12/05/2020,8,1542
30/04/2020,8,1501
29/04/2020,8,1500
16/04/2020,8,1242
14/04/2020,8,1252
25/03/2020,8,1639
21/03/2020,8,975
18/03/2020,8,1097
21/02/2020,8,1150
18/02/2020,8,1100
04/02/2020,8,1175
01/02/2020,8,1150
31/01/2020,8,1376
18/01/2020,8,1113
28/12/2019,8,950
10/12/2019,8,970
05/12/2019,8,875
02/12/2019,8,850
02/12/2019,8,855
20/11/2019,8,1000
13/11/2019,8,849
11/10/2019,8,1050
29/09/2019,8,950
29/09/2019,8,900
28/09/2019,8,900
11/09/2019,8,927
11/09/2019,8,928
22/08/2019,8,1199
11/08/2019,8,1050
02/08/2019,8,1140
24/07/2019,8,1200
20/07/2019,8,913
19/07/2019,8,980
03/07/2019,8,925
02/07/2019,8,1100
12/05/2019,8,1098
30/04/2019,8,1050
29/04/2019,8,1000
23/04/2019,8,1068
21/04/2019,8,1050
10/04/2019,8,980
29/03/2019,8,944
22/03/2019,8,846
17/03/2019,8,905
04/03/2019,8,852
28/02/2019,8,810
24/02/2019,8,899
24/02/2019,8,800
11/02/2019,8,875
23/01/2019,8,880
17/01/2019,8,865
10/01/2019,8,874
06/01/2019,8,870
10/12/2018,8,853
03/12/2018,8,935
25/11/2018,8,980
12/11/2018,8,960
06/11/2018,8,995
28/10/2018,8,980
23/10/2018,8,890
19/10/2018,8,900
15/10/2018,8,800
01/10/2018,8,900
28/09/2018,8,850
26/09/2018,8,855
06/09/2018,8,778
03/09/2018,8,820
29/08/2018,8,820
28/08/2018,8,930
27/08/2018,8,875
17/08/2018,8,750
16/08/2018,8,749
14/08/2018,8,740
13/08/2018,8,706
13/08/2018,8,720
03/08/2018,8,799
05/07/2018,8,769
06/06/2018,8,775
31/05/2018,8,725
24/04/2018,8,725
22/04/2018,8,695
18/04/2018,8,750
14/04/2018,8,744
12/04/2018,8,725
08/04/2018,8,694
29/03/2018,8,660
25/03/2018,8,719
24/03/2018,8,662
22/03/2018,8,671
03/03/2018,8,661
22/02/2018,8,660
21/02/2018,8,760
09/02/2018,8,665
02/02/2018,8,561
23/01/2018,8,760
23/01/2018,8,670
18/01/2018,8,760
01/01/2018,8,600
29/12/2017,8,760
24/12/2017,8,589
21/12/2017,8,500
20/12/2017,8,575
19/12/2017,8,550
18/12/2017,8,540
12/12/2017,8,525
06/12/2017,8,524
04/12/2017,8,777
18/11/2017,8,470
11/11/2017,8,540
20/10/2017,8,624
11/10/2017,8,580
10/10/2017,8,750
08/10/2017,8,625
05/10/2017,8,480
26/09/2017,8,475
14/09/2017,8,625
28/08/2017,8,525
27/08/2017,8,500
25/08/2017,8,430
21/08/2017,8,599
14/08/2017,8,525
09/08/2017,8,500
02/08/2017,8,411
01/08/2017,8,416
25/07/2017,8,475
14/07/2017,8,575
13/07/2017,8,568
09/07/2017,8,550
26/06/2017,8,500
26/06/2017,8,521
01/06/2017,8,470
27/05/2017,8,500
23/05/2017,8,435
23/05/2017,8,521
20/05/2017,8,449
09/05/2017,8,404
26/04/2017,8,460
25/04/2017,8,550
12/04/2017,8,553
04/04/2017,8,500
27/03/2017,8,410
22/03/2017,8,450
18/03/2017,8,522
17/03/2017,8,450
11/03/2017,8,400
27/02/2017,8,450
17/02/2017,8,500
01/02/2017,8,480
19/01/2017,8,500
10/01/2017,8,516
08/01/2017,8,500
24/12/2016,8,500
21/12/2016,8,491
21/12/2016,8,500
19/12/2016,8,500
12/12/2016,8,500
06/12/2016,8,593
05/12/2016,8,450
28/11/2016,8,540
24/11/2016,8,449
08/11/2016,8,400
03/11/2016,8,400
26/10/2016,8,450
26/10/2016,8,450
22/10/2016,8,450
14/10/2016,8,450
09/10/2016,8,450
09/10/2016,8,450
23/09/2016,8,450
17/09/2016,8,450
08/09/2016,8,450
07/09/2016,8,410
06/09/2016,8,450
28/07/2016,8,500
23/07/2016,8,450
17/07/2016,8,450
12/07/2016,8,450
09/07/2016,8,500
08/07/2016,8,500
02/07/2016,8,500
27/06/2016,8,450
16/06/2016,8,550
09/06/2016,8,550
06/06/2016,8,500
04/06/2016,8,500
02/06/2016,8,500
28/05/2016,8,500
17/05/2016,8,450
07/05/2016,8,400
29/04/2016,8,360
21/04/2016,8,500
16/04/2016,8,550
02/04/2016,8,500
28/03/2016,8,500
27/03/2016,8,512
21/03/2016,8,500
20/03/2016,8,550
20/03/2016,8,500
17/03/2016,8,400
14/03/2016,8,511
23/02/2016,8,500
07/02/2016,8,450
16/01/2016,8,500
04/01/2016,8,500
26/12/2015,8,500
11/12/2015,8,562
07/12/2015,8,500
07/12/2015,8,500
01/12/2015,8,500
27/11/2015,8,500
19/11/2015,8,450
06/11/2015,8,550
25/10/2015,8,525
06/10/2015,8,600
04/10/2015,8,600
15/09/2015,8,600
14/09/2015,8,600
12/09/2015,8,650
08/09/2015,8,600
08/09/2015,8,550
04/09/2015,8,600
03/09/2015,8,650
21/08/2015,8,600
21/08/2015,8,600
20/08/2015,8,575
01/08/2015,8,600
01/08/2015,8,575
10/07/2015,8,600
07/07/2015,8,600
04/07/2015,8,550
03/07/2015,8,525
30/06/2015,8,550
28/06/2015,8,500
09/06/2015,8,650
31/05/2015,8,616
