ProductActivity__createdAt,Date,ProductActivity__shoeSize,ProductActivity__localAmount
30/11/2020,2020-11-30,12,1275
29/11/2020,2020-11-29,10,1700
29/11/2020,2020-11-29,12,1450
28/11/2020,2020-11-28,9.5,1740
28/11/2020,2020-11-28,10.5,1975
27/11/2020,2020-11-27,13,1370
26/11/2020,2020-11-26,9.5,1599
25/11/2020,2020-11-25,10.5,1600
24/11/2020,2020-11-24,10,1796
23/11/2020,2020-11-23,9.5,1829
21/11/2020,2020-11-21,11.5,1649
19/11/2020,2020-11-19,11,1355
19/11/2020,2020-11-19,12,1216
18/11/2020,2020-11-18,9.5,1528
18/11/2020,2020-11-18,10.5,1651
16/11/2020,2020-11-16,10,1700
15/11/2020,2020-11-15,9,1850
15/11/2020,2020-11-15,12,1267
13/11/2020,2020-11-13,10.5,1505
13/11/2020,2020-11-13,11,1401
13/11/2020,2020-11-13,11.5,1599
11/11/2020,2020-11-11,9.5,1580
11/11/2020,2020-11-11,10,1800
11/11/2020,2020-11-11,10,1798
11/11/2020,2020-11-11,11,1400
10/11/2020,2020-11-10,9.5,1800
10/11/2020,2020-11-10,10.5,1450
10/11/2020,2020-11-10,11,1799
09/11/2020,2020-11-09,11,1381
08/11/2020,2020-11-08,11.5,1596
07/11/2020,2020-11-07,8.5,1960
07/11/2020,2020-11-07,11,1500
07/11/2020,2020-11-07,11,1644
07/11/2020,2020-11-07,11,1690
06/11/2020,2020-11-06,8.5,1950
06/11/2020,2020-11-06,8.5,1838
06/11/2020,2020-11-06,10,1750
06/11/2020,2020-11-06,10.5,1351
06/11/2020,2020-11-06,13,1250
05/11/2020,2020-11-05,10.5,1351
05/11/2020,2020-11-05,11,1700
04/11/2020,2020-11-04,9.5,1651
04/11/2020,2020-11-04,10.5,1500
04/11/2020,2020-11-04,10.5,1839
03/11/2020,2020-11-03,9,1661
02/11/2020,2020-11-02,10,1400
02/11/2020,2020-11-02,10,1750
02/11/2020,2020-11-02,12,1600
30/10/2020,2020-10-30,13,1101
29/10/2020,2020-10-29,10,1725
29/10/2020,2020-10-29,10,1513
29/10/2020,2020-10-29,11.5,1100
28/10/2020,2020-10-28,9.5,2272
28/10/2020,2020-10-28,10.5,1750
28/10/2020,2020-10-28,12,1220
27/10/2020,2020-10-27,10,1600
27/10/2020,2020-10-27,10.5,1800
24/10/2020,2020-10-24,9.5,1505
24/10/2020,2020-10-24,11,1699
24/10/2020,2020-10-24,11.5,1400
24/10/2020,2020-10-24,12,1420
24/10/2020,2020-10-24,13,1697
23/10/2020,2020-10-23,11.5,1300
23/10/2020,2020-10-23,12,1220
22/10/2020,2020-10-22,13,1500
21/10/2020,2020-10-21,10.5,1850
20/10/2020,2020-10-20,9,1550
20/10/2020,2020-10-20,10,1949
19/10/2020,2020-10-19,8.5,1900
19/10/2020,2020-10-19,9,1776
19/10/2020,2020-10-19,12,1280
18/10/2020,2020-10-18,10.5,1600
18/10/2020,2020-10-18,11,1922
16/10/2020,2020-10-16,11.5,1299
15/10/2020,2020-10-15,9.5,1600
14/10/2020,2020-10-14,10,1503
14/10/2020,2020-10-14,13,1486
14/10/2020,2020-10-14,13,1250
13/10/2020,2020-10-13,8.5,1877
13/10/2020,2020-10-13,9.5,1800
13/10/2020,2020-10-13,10,1677
13/10/2020,2020-10-13,12,1488
12/10/2020,2020-10-12,10,1752
12/10/2020,2020-10-12,11,1700
12/10/2020,2020-10-12,13,1150
09/10/2020,2020-10-09,9.5,1630
09/10/2020,2020-10-09,10.5,1840
09/10/2020,2020-10-09,13,1249
08/10/2020,2020-10-08,11,1500
07/10/2020,2020-10-07,9.5,1864
07/10/2020,2020-10-07,11,1704
07/10/2020,2020-10-07,12,1299
06/10/2020,2020-10-06,9.5,1525
05/10/2020,2020-10-05,9,1653
05/10/2020,2020-10-05,10.5,1800
05/10/2020,2020-10-05,12,1299
02/10/2020,2020-10-02,9,1876
01/10/2020,2020-10-01,11.5,1151
30/09/2020,2020-09-30,10,2432
30/09/2020,2020-09-30,11,1641
28/09/2020,2020-09-28,11,1550
25/09/2020,2020-09-25,8.5,1900
25/09/2020,2020-09-25,9.5,1800
25/09/2020,2020-09-25,10,1601
24/09/2020,2020-09-24,10,1506
24/09/2020,2020-09-24,10.5,1600
24/09/2020,2020-09-24,10.5,1649
24/09/2020,2020-09-24,12,1372
23/09/2020,2020-09-23,9.5,1526
23/09/2020,2020-09-23,10,1510
23/09/2020,2020-09-23,11,2205
23/09/2020,2020-09-23,11.5,1450
22/09/2020,2020-09-22,10,1520
22/09/2020,2020-09-22,10,1590
20/09/2020,2020-09-20,10.5,1600
19/09/2020,2020-09-19,9.5,1531
18/09/2020,2020-09-18,10.5,1295
18/09/2020,2020-09-18,10.5,1500
18/09/2020,2020-09-18,10.5,1515
17/09/2020,2020-09-17,8.5,1560
17/09/2020,2020-09-17,10,2329
15/09/2020,2020-09-15,10,1514
15/09/2020,2020-09-15,10,1675
15/09/2020,2020-09-15,11,1517
14/09/2020,2020-09-14,9.5,1565
14/09/2020,2020-09-14,11,1500
11/09/2020,2020-09-11,10,1777
11/09/2020,2020-09-11,11,1500
08/09/2020,2020-09-08,8.5,1604
08/09/2020,2020-09-08,11,1201
05/09/2020,2020-09-05,12,1550
04/09/2020,2020-09-04,9,1799
04/09/2020,2020-09-04,11.5,1599
03/09/2020,2020-09-03,9.5,1522
03/09/2020,2020-09-03,12,1650
03/09/2020,2020-09-03,13,1450
02/09/2020,2020-09-02,9.5,1550
02/09/2020,2020-09-02,11,1276
02/09/2020,2020-09-02,11,1277
02/09/2020,2020-09-02,13,951
02/09/2020,2020-09-02,13,1400
31/08/2020,2020-08-31,10.5,1650
31/08/2020,2020-08-31,12,1246
30/08/2020,2020-08-30,11.5,1561
30/08/2020,2020-08-30,12,1736
30/08/2020,2020-08-30,12,1650
29/08/2020,2020-08-29,10,1750
28/08/2020,2020-08-28,9,1867
27/08/2020,2020-08-27,13,1300
27/08/2020,2020-08-27,13,1275
26/08/2020,2020-08-26,10,1749
26/08/2020,2020-08-26,10.5,1553
26/08/2020,2020-08-26,12,1300
26/08/2020,2020-08-26,13,1380
25/08/2020,2020-08-25,11,1377
25/08/2020,2020-08-25,11,1451
25/08/2020,2020-08-25,11.5,1352
24/08/2020,2020-08-24,11,1535
23/08/2020,2020-08-23,9,1550
