ProductActivity__createdAt,ProductActivity__shoeSize,ProductActivity__localAmount
23/11/2020,7.5,3250
17/11/2020,7.5,3020
26/09/2020,7.5,1750
01/07/2020,7.5,1965
17/05/2020,7.5,2199
12/04/2020,7.5,1299
01/03/2020,7.5,1528
08/11/2019,7.5,1200
23/07/2019,7.5,989
16/07/2019,7.5,985
11/07/2019,7.5,801
27/06/2019,7.5,801
11/06/2019,7.5,1085
16/05/2019,7.5,1065
03/05/2019,7.5,995
30/04/2019,7.5,900
26/03/2019,7.5,860
22/03/2019,7.5,886
19/03/2019,7.5,888
30/01/2019,7.5,901
23/01/2019,7.5,802
11/01/2019,7.5,720
04/01/2019,7.5,905
13/12/2018,7.5,900
06/09/2018,7.5,713
21/07/2018,7.5,700
18/07/2018,7.5,659
30/06/2018,7.5,700
13/06/2018,7.5,745
22/05/2018,7.5,650
06/04/2018,7.5,740
18/03/2018,7.5,586
02/02/2018,7.5,750
26/01/2018,7.5,650
11/12/2017,7.5,456
03/12/2017,7.5,750
24/11/2017,7.5,663
19/11/2017,7.5,670
10/11/2017,7.5,675
05/11/2017,7.5,558
01/11/2017,7.5,487
13/10/2017,7.5,600
25/09/2017,7.5,460
25/09/2017,7.5,599
22/09/2017,7.5,525
22/08/2017,7.5,573
07/08/2017,7.5,600
04/08/2017,7.5,495
26/07/2017,7.5,550
20/07/2017,7.5,450
18/07/2017,7.5,550
03/07/2017,7.5,573
23/06/2017,7.5,550
24/05/2017,7.5,623
15/04/2017,7.5,675
09/04/2017,7.5,450
12/03/2017,7.5,500
11/02/2017,7.5,500
28/01/2017,7.5,500
04/01/2017,7.5,500
10/09/2016,7.5,500
24/08/2016,7.5,600
16/08/2016,7.5,474
28/06/2016,7.5,350
27/04/2016,7.5,550
23/04/2016,7.5,637
10/04/2016,7.5,500
04/04/2016,7.5,550
16/03/2016,7.5,500
01/02/2016,7.5,500
29/12/2015,7.5,607
15/12/2015,7.5,550
03/12/2015,7.5,550
19/11/2015,7.5,600
03/09/2015,7.5,600
18/08/2015,7.5,550
23/07/2015,7.5,600
18/07/2015,7.5,650
01/07/2015,7.5,650
21/06/2015,7.5,600
09/06/2015,7.5,500
05/06/2015,7.5,600
04/06/2015,7.5,620
04/06/2015,7.5,620
03/06/2015,7.5,600
