ProductActivity__createdAt,ProductActivity__shoeSize,ProductActivity__localAmount
29/09/2016,8.5,400
28/09/2016,8.5,500
17/09/2016,8.5,450
08/09/2016,8.5,500
04/09/2016,8.5,500
01/09/2016,8.5,500
20/08/2016,8.5,500
16/08/2016,8.5,471
16/08/2016,8.5,475
14/08/2016,8.5,450
12/08/2016,8.5,450
