ProductActivity__createdAt,ProductActivity__shoeSize,ProductActivity__localAmount
18/01/2021,15,1337
19/12/2020,15,700
11/11/2020,15,990
04/10/2020,15,910
13/09/2020,15,1075
20/08/2020,15,1184
10/07/2020,15,1300
27/05/2020,15,1200
19/05/2020,15,997
19/05/2020,15,996
02/04/2020,15,547
11/03/2020,15,560
29/01/2020,15,450
23/10/2019,15,530
30/08/2019,15,500
15/07/2019,15,500
17/06/2019,15,565
27/03/2019,15,897
06/03/2019,15,580
12/01/2019,15,440
24/11/2018,15,445
03/10/2018,15,545
29/09/2018,15,445
02/04/2018,15,570
25/03/2018,15,350
11/12/2017,15,470
22/10/2017,15,415
24/08/2017,15,425
31/07/2017,15,599
02/07/2017,15,450
22/05/2017,15,325
16/04/2017,15,400
27/02/2017,15,450
27/02/2017,15,450
07/02/2017,15,340
04/02/2017,15,471
02/10/2016,15,375
28/08/2016,15,400
13/08/2016,15,624
18/06/2016,15,450
31/05/2016,15,400
21/05/2016,15,412
20/04/2016,15,375
28/02/2016,15,400
29/10/2015,15,500
13/08/2015,15,475
20/07/2015,15,500
06/06/2015,15,500
04/06/2015,15,500
