ProductActivity__createdAt,ProductActivity__shoeSize,ProductActivity__localAmount
11/04/2021,10.5,1550
08/04/2021,10.5,1750
05/04/2021,10.5,1600
20/03/2021,10.5,1873
20/03/2021,10.5,1676
19/03/2021,10.5,1798
01/03/2021,10.5,2144
01/03/2021,10.5,1884
27/02/2021,10.5,1880
24/02/2021,10.5,1800
23/02/2021,10.5,1799
23/02/2021,10.5,2162
22/02/2021,10.5,1795
18/02/2021,10.5,1720
14/02/2021,10.5,1797
12/02/2021,10.5,1884
04/02/2021,10.5,1681
02/02/2021,10.5,1675
31/01/2021,10.5,1600
28/01/2021,10.5,1798
22/01/2021,10.5,1701
21/01/2021,10.5,1650
19/01/2021,10.5,1699
13/01/2021,10.5,1465
10/01/2021,10.5,1900
26/12/2020,10.5,1400
19/12/2020,10.5,1697
15/12/2020,10.5,1845
10/12/2020,10.5,1550
09/12/2020,10.5,1810
04/12/2020,10.5,1742
03/12/2020,10.5,1750
02/12/2020,10.5,1751
01/12/2020,10.5,1749
28/11/2020,10.5,1975
25/11/2020,10.5,1600
18/11/2020,10.5,1651
13/11/2020,10.5,1505
10/11/2020,10.5,1450
06/11/2020,10.5,1351
05/11/2020,10.5,1351
04/11/2020,10.5,1500
04/11/2020,10.5,1839
28/10/2020,10.5,1750
27/10/2020,10.5,1800
21/10/2020,10.5,1850
18/10/2020,10.5,1600
09/10/2020,10.5,1840
05/10/2020,10.5,1800
24/09/2020,10.5,1600
24/09/2020,10.5,1649
20/09/2020,10.5,1600
18/09/2020,10.5,1295
18/09/2020,10.5,1500
18/09/2020,10.5,1515
31/08/2020,10.5,1650
26/08/2020,10.5,1553
23/08/2020,10.5,1898
13/08/2020,10.5,1799
09/08/2020,10.5,1595
06/08/2020,10.5,1750
01/08/2020,10.5,1780
30/07/2020,10.5,1750
26/07/2020,10.5,1650
23/07/2020,10.5,1653
22/07/2020,10.5,1700
18/07/2020,10.5,1650
10/07/2020,10.5,1475
09/07/2020,10.5,1772
07/07/2020,10.5,1490
06/07/2020,10.5,1800
28/06/2020,10.5,1601
27/06/2020,10.5,1590
25/06/2020,10.5,1633
23/06/2020,10.5,1600
21/06/2020,10.5,1362
18/06/2020,10.5,1486
18/06/2020,10.5,1600
15/06/2020,10.5,1600
14/06/2020,10.5,1415
12/06/2020,10.5,1335
09/06/2020,10.5,1600
09/06/2020,10.5,1639
07/06/2020,10.5,1400
05/06/2020,10.5,1649
02/06/2020,10.5,1602
01/06/2020,10.5,1599
29/05/2020,10.5,1601
26/05/2020,10.5,1500
23/05/2020,10.5,1650
23/05/2020,10.5,1699
21/05/2020,10.5,1699
19/05/2020,10.5,1455
18/05/2020,10.5,1798
18/05/2020,10.5,1790
16/05/2020,10.5,1592
13/05/2020,10.5,1539
12/05/2020,10.5,1456
11/05/2020,10.5,1525
09/05/2020,10.5,1520
05/05/2020,10.5,1300
04/05/2020,10.5,1401
04/05/2020,10.5,1365
04/05/2020,10.5,1364
03/05/2020,10.5,1300
29/04/2020,10.5,1301
27/04/2020,10.5,1350
25/04/2020,10.5,1300
24/04/2020,10.5,1299
22/04/2020,10.5,1290
22/04/2020,10.5,1097
22/04/2020,10.5,1200
14/04/2020,10.5,1183
13/04/2020,10.5,1151
12/04/2020,10.5,1100
11/04/2020,10.5,1090
08/04/2020,10.5,1086
03/04/2020,10.5,1098
31/03/2020,10.5,1020
27/03/2020,10.5,990
25/03/2020,10.5,955
24/03/2020,10.5,940
20/03/2020,10.5,900
19/03/2020,10.5,985
06/03/2020,10.5,949
27/02/2020,10.5,1042
25/02/2020,10.5,950
20/02/2020,10.5,1000
20/02/2020,10.5,968
15/02/2020,10.5,968
13/02/2020,10.5,950
12/02/2020,10.5,950
04/02/2020,10.5,899
02/02/2020,10.5,880
01/02/2020,10.5,850
23/01/2020,10.5,815
08/01/2020,10.5,1076
24/12/2019,10.5,818
24/12/2019,10.5,801
19/12/2019,10.5,779
17/12/2019,10.5,660
12/12/2019,10.5,722
11/12/2019,10.5,685
10/12/2019,10.5,780
06/12/2019,10.5,699
04/12/2019,10.5,680
03/12/2019,10.5,725
22/11/2019,10.5,780
16/11/2019,10.5,775
15/11/2019,10.5,760
14/11/2019,10.5,735
06/11/2019,10.5,769
06/11/2019,10.5,750
31/10/2019,10.5,725
27/10/2019,10.5,798
24/10/2019,10.5,805
18/10/2019,10.5,642
10/10/2019,10.5,849
09/10/2019,10.5,835
07/10/2019,10.5,834
30/09/2019,10.5,651
29/09/2019,10.5,779
27/09/2019,10.5,705
27/09/2019,10.5,815
27/09/2019,10.5,800
25/09/2019,10.5,801
23/09/2019,10.5,775
22/09/2019,10.5,780
20/09/2019,10.5,780
19/09/2019,10.5,726
07/09/2019,10.5,789
06/09/2019,10.5,750
01/09/2019,10.5,750
30/08/2019,10.5,750
28/08/2019,10.5,750
20/08/2019,10.5,735
18/08/2019,10.5,710
18/08/2019,10.5,715
12/08/2019,10.5,744
09/08/2019,10.5,740
06/08/2019,10.5,685
01/08/2019,10.5,690
30/07/2019,10.5,688
27/07/2019,10.5,685
25/07/2019,10.5,690
25/07/2019,10.5,750
24/07/2019,10.5,691
23/07/2019,10.5,730
22/07/2019,10.5,715
22/07/2019,10.5,835
19/07/2019,10.5,775
18/07/2019,10.5,865
17/07/2019,10.5,794
12/07/2019,10.5,767
09/07/2019,10.5,775
08/07/2019,10.5,700
08/07/2019,10.5,775
08/07/2019,10.5,760
06/07/2019,10.5,750
28/06/2019,10.5,795
13/06/2019,10.5,849
13/06/2019,10.5,790
11/06/2019,10.5,800
11/06/2019,10.5,799
10/06/2019,10.5,797
09/06/2019,10.5,795
07/06/2019,10.5,745
06/06/2019,10.5,747
04/06/2019,10.5,799
30/05/2019,10.5,775
26/05/2019,10.5,745
24/05/2019,10.5,685
23/05/2019,10.5,695
21/05/2019,10.5,774
18/05/2019,10.5,840
14/05/2019,10.5,745
11/05/2019,10.5,830
03/05/2019,10.5,800
01/05/2019,10.5,849
01/05/2019,10.5,800
30/04/2019,10.5,770
26/04/2019,10.5,725
24/04/2019,10.5,770
12/04/2019,10.5,899
09/04/2019,10.5,849
09/04/2019,10.5,845
07/04/2019,10.5,820
02/04/2019,10.5,780
28/03/2019,10.5,840
25/03/2019,10.5,821
22/03/2019,10.5,800
20/03/2019,10.5,799
18/03/2019,10.5,810
18/03/2019,10.5,785
17/03/2019,10.5,800
15/03/2019,10.5,777
05/03/2019,10.5,820
26/02/2019,10.5,799
22/02/2019,10.5,800
19/02/2019,10.5,826
18/02/2019,10.5,850
13/02/2019,10.5,696
12/02/2019,10.5,745
04/02/2019,10.5,710
31/01/2019,10.5,710
29/01/2019,10.5,720
24/01/2019,10.5,737
23/01/2019,10.5,740
15/01/2019,10.5,700
09/01/2019,10.5,620
