ProductActivity__createdAt,ProductActivity__shoeSize,ProductActivity__localAmount
06/04/2021,11,1689
05/04/2021,11,1650
02/04/2021,11,1750
01/04/2021,11,1750
08/03/2021,11,2112
03/03/2021,11,1790
24/02/2021,11,2156
23/02/2021,11,1749
15/02/2021,11,1790
01/02/2021,11,1600
29/01/2021,11,1515
12/01/2021,11,1840
04/01/2021,11,1755
02/01/2021,11,1730
26/12/2020,11,1510
07/12/2020,11,1800
19/11/2020,11,1355
13/11/2020,11,1401
11/11/2020,11,1400
10/11/2020,11,1799
09/11/2020,11,1381
07/11/2020,11,1500
07/11/2020,11,1644
07/11/2020,11,1690
05/11/2020,11,1700
24/10/2020,11,1699
18/10/2020,11,1922
12/10/2020,11,1700
08/10/2020,11,1500
07/10/2020,11,1704
30/09/2020,11,1641
28/09/2020,11,1550
23/09/2020,11,2205
15/09/2020,11,1517
14/09/2020,11,1500
11/09/2020,11,1500
08/09/2020,11,1201
02/09/2020,11,1276
02/09/2020,11,1277
25/08/2020,11,1377
25/08/2020,11,1451
24/08/2020,11,1535
20/08/2020,11,1650
18/08/2020,11,1800
13/08/2020,11,1725
10/08/2020,11,1750
05/08/2020,11,1700
05/08/2020,11,1535
05/08/2020,11,1529
04/08/2020,11,1499
28/07/2020,11,1400
27/07/2020,11,1400
21/07/2020,11,1500
20/07/2020,11,1701
19/07/2020,11,1670
14/07/2020,11,1450
11/07/2020,11,1616
09/07/2020,11,1729
03/07/2020,11,1609
01/07/2020,11,1649
25/06/2020,11,1700
24/06/2020,11,1501
20/06/2020,11,1550
18/06/2020,11,1599
17/06/2020,11,1549
16/06/2020,11,1501
14/06/2020,11,1455
14/06/2020,11,1225
13/06/2020,11,1300
08/06/2020,11,1575
31/05/2020,11,1500
29/05/2020,11,1435
28/05/2020,11,1435
23/05/2020,11,1450
23/05/2020,11,1377
22/05/2020,11,1440
20/05/2020,11,1320
20/05/2020,11,1400
19/05/2020,11,1568
18/05/2020,11,1255
12/05/2020,11,1255
09/05/2020,11,1555
09/05/2020,11,1699
08/05/2020,11,1295
05/05/2020,11,1500
05/05/2020,11,1400
04/05/2020,11,1500
04/05/2020,11,1478
04/05/2020,11,1400
04/05/2020,11,1350
29/04/2020,11,1300
29/04/2020,11,1336
27/04/2020,11,1300
27/04/2020,11,1274
27/04/2020,11,1220
22/04/2020,11,1150
20/04/2020,11,1150
16/04/2020,11,1175
30/03/2020,11,1000
27/03/2020,11,915
27/03/2020,11,906
26/03/2020,11,900
23/03/2020,11,900
21/03/2020,11,851
18/03/2020,11,850
15/03/2020,11,759
15/03/2020,11,799
13/03/2020,11,783
11/03/2020,11,769
04/03/2020,11,880
02/03/2020,11,751
17/02/2020,11,900
21/01/2020,11,838
20/01/2020,11,850
20/01/2020,11,840
18/01/2020,11,849
15/01/2020,11,808
15/01/2020,11,800
12/01/2020,11,795
11/01/2020,11,765
07/01/2020,11,797
06/01/2020,11,799
04/01/2020,11,799
02/01/2020,11,797
31/12/2019,11,650
28/12/2019,11,788
28/12/2019,11,710
27/12/2019,11,744
27/12/2019,11,695
18/12/2019,11,700
08/12/2019,11,727
06/12/2019,11,780
04/12/2019,11,720
03/12/2019,11,730
03/12/2019,11,710
02/12/2019,11,763
29/11/2019,11,800
27/11/2019,11,799
23/11/2019,11,685
21/11/2019,11,776
15/11/2019,11,775
13/11/2019,11,768
07/11/2019,11,753
04/11/2019,11,739
04/11/2019,11,681
02/11/2019,11,775
01/11/2019,11,700
31/10/2019,11,690
31/10/2019,11,680
31/10/2019,11,684
29/10/2019,11,665
27/10/2019,11,690
23/10/2019,11,606
