ProductActivity__createdAt,ProductActivity__shoeSize,ProductActivity__localAmount
07/04/2021,11.5,1775
26/03/2021,11.5,1920
22/02/2021,11.5,1869
22/01/2021,11.5,1451
09/01/2021,11.5,2212
09/01/2021,11.5,1515
30/12/2020,11.5,1650
21/12/2020,11.5,1598
15/12/2020,11.5,1579
09/12/2020,11.5,1575
21/11/2020,11.5,1649
13/11/2020,11.5,1599
08/11/2020,11.5,1596
29/10/2020,11.5,1100
24/10/2020,11.5,1400
23/10/2020,11.5,1300
16/10/2020,11.5,1299
01/10/2020,11.5,1151
23/09/2020,11.5,1450
04/09/2020,11.5,1599
30/08/2020,11.5,1561
25/08/2020,11.5,1352
14/08/2020,11.5,1595
12/08/2020,11.5,1500
16/07/2020,11.5,1400
08/07/2020,11.5,1450
08/07/2020,11.5,1400
30/06/2020,11.5,1697
25/06/2020,11.5,1501
13/06/2020,11.5,1650
11/06/2020,11.5,1200
10/06/2020,11.5,1200
09/06/2020,11.5,1190
07/06/2020,11.5,1450
26/05/2020,11.5,1590
18/05/2020,11.5,1300
17/05/2020,11.5,1600
15/05/2020,11.5,1537
15/05/2020,11.5,1501
09/05/2020,11.5,1140
05/05/2020,11.5,1352
04/05/2020,11.5,1200
26/04/2020,11.5,1200
24/04/2020,11.5,1186
15/04/2020,11.5,976
07/04/2020,11.5,900
06/04/2020,11.5,910
05/04/2020,11.5,975
11/03/2020,11.5,984
28/02/2020,11.5,770
25/02/2020,11.5,775
21/02/2020,11.5,780
15/02/2020,11.5,746
11/02/2020,11.5,750
07/02/2020,11.5,742
07/02/2020,11.5,741
03/02/2020,11.5,706
04/01/2020,11.5,785
26/12/2019,11.5,699
15/12/2019,11.5,748
11/12/2019,11.5,601
09/12/2019,11.5,750
04/12/2019,11.5,697
03/12/2019,11.5,695
27/11/2019,11.5,690
26/11/2019,11.5,640
25/11/2019,11.5,734
21/11/2019,11.5,715
06/11/2019,11.5,780
05/11/2019,11.5,775
01/11/2019,11.5,726
26/10/2019,11.5,750
18/10/2019,11.5,650
16/10/2019,11.5,651
11/10/2019,11.5,650
06/10/2019,11.5,675
17/09/2019,11.5,667
11/09/2019,11.5,692
09/09/2019,11.5,695
06/09/2019,11.5,693
05/09/2019,11.5,630
21/08/2019,11.5,635
12/08/2019,11.5,610
12/08/2019,11.5,660
05/08/2019,11.5,661
05/08/2019,11.5,670
23/07/2019,11.5,660
23/07/2019,11.5,659
19/07/2019,11.5,662
19/07/2019,11.5,651
12/07/2019,11.5,650
10/07/2019,11.5,700
05/07/2019,11.5,722
15/06/2019,11.5,690
06/06/2019,11.5,610
24/05/2019,11.5,725
23/05/2019,11.5,636
12/05/2019,11.5,725
06/05/2019,11.5,725
06/05/2019,11.5,686
29/04/2019,11.5,660
29/04/2019,11.5,656
18/04/2019,11.5,675
