ProductActivity__createdAt,ProductActivity__shoeSize,ProductActivity__localAmount
17/12/2020,12.5,1950
10/12/2020,12.5,1500
17/11/2020,12.5,990
01/10/2020,12.5,1200
29/09/2020,12.5,1350
16/09/2020,12.5,1325
05/05/2020,12.5,986
04/05/2020,12.5,955
26/02/2020,12.5,763
11/12/2019,12.5,743
28/09/2019,12.5,450
22/08/2019,12.5,700
14/07/2019,12.5,625
09/07/2019,12.5,601
25/04/2019,12.5,650
11/02/2019,12.5,567
07/02/2019,12.5,512
21/12/2018,12.5,636
28/08/2018,12.5,450
30/05/2018,12.5,500
22/05/2018,12.5,525
06/05/2018,12.5,499
24/04/2018,12.5,452
03/03/2018,12.5,401
27/12/2017,12.5,455
29/11/2017,12.5,525
10/11/2017,12.5,415
04/09/2017,12.5,600
24/08/2017,12.5,375
08/07/2017,12.5,500
01/06/2017,12.5,400
19/03/2017,12.5,400
25/01/2017,12.5,350
05/01/2017,12.5,350
11/10/2016,12.5,450
14/09/2016,12.5,425
10/09/2016,12.5,425
09/09/2016,12.5,400
17/06/2016,12.5,465
16/06/2016,12.5,500
11/05/2016,12.5,450
10/03/2016,12.5,400
14/11/2015,12.5,450
27/08/2015,12.5,450
21/08/2015,12.5,450
04/07/2015,12.5,400
17/06/2015,12.5,600
