ProductActivity__createdAt,ProductActivity__shoeSize,ProductActivity__localAmount
06/04/2021,13,1600
26/03/2021,13,1499
21/02/2021,13,1486
21/02/2021,13,1440
16/02/2021,13,1200
11/02/2021,13,1300
29/01/2021,13,1276
05/01/2021,13,1200
04/01/2021,13,1195
27/11/2020,13,1370
06/11/2020,13,1250
30/10/2020,13,1101
24/10/2020,13,1697
22/10/2020,13,1500
14/10/2020,13,1486
14/10/2020,13,1250
12/10/2020,13,1150
09/10/2020,13,1249
03/09/2020,13,1450
02/09/2020,13,951
02/09/2020,13,1400
27/08/2020,13,1300
27/08/2020,13,1275
26/08/2020,13,1380
30/07/2020,13,1500
30/07/2020,13,1450
23/07/2020,13,1399
17/07/2020,13,1351
14/07/2020,13,1150
11/07/2020,13,1349
04/07/2020,13,1290
26/06/2020,13,1260
10/06/2020,13,1245
07/06/2020,13,1240
05/06/2020,13,1150
27/05/2020,13,1345
22/05/2020,13,1345
17/05/2020,13,1200
16/05/2020,13,1140
14/05/2020,13,1175
13/05/2020,13,1080
06/05/2020,13,1100
04/05/2020,13,1099
29/04/2020,13,1075
23/04/2020,13,975
19/04/2020,13,1000
15/04/2020,13,849
11/04/2020,13,767
09/04/2020,13,825
03/04/2020,13,796
02/04/2020,13,750
31/03/2020,13,725
29/03/2020,13,710
27/03/2020,13,731
18/03/2020,13,700
08/03/2020,13,790
06/03/2020,13,706
06/03/2020,13,749
02/03/2020,13,689
27/02/2020,13,669
25/02/2020,13,665
18/02/2020,13,710
15/02/2020,13,690
10/02/2020,13,700
06/02/2020,13,690
01/02/2020,13,650
30/01/2020,13,625
29/01/2020,13,623
28/01/2020,13,580
27/01/2020,13,545
24/01/2020,13,625
20/01/2020,13,620
13/01/2020,13,620
11/01/2020,13,595
08/01/2020,13,607
07/01/2020,13,572
06/01/2020,13,564
05/01/2020,13,563
04/01/2020,13,555
01/01/2020,13,560
31/12/2019,13,567
14/12/2019,13,510
08/12/2019,13,550
04/12/2019,13,600
14/11/2019,13,575
14/11/2019,13,570
11/11/2019,13,563
10/11/2019,13,531
31/10/2019,13,505
25/10/2019,13,545
20/10/2019,13,551
17/10/2019,13,505
17/10/2019,13,530
04/10/2019,13,532
04/10/2019,13,515
02/10/2019,13,500
27/09/2019,13,490
08/09/2019,13,567
05/09/2019,13,565
29/08/2019,13,485
20/08/2019,13,490
16/08/2019,13,560
15/08/2019,13,555
12/08/2019,13,500
07/08/2019,13,565
06/08/2019,13,505
02/08/2019,13,506
02/08/2019,13,520
27/07/2019,13,550
16/07/2019,13,560
08/07/2019,13,524
07/07/2019,13,551
04/07/2019,13,595
01/07/2019,13,570
25/06/2019,13,590
09/06/2019,13,643
08/06/2019,13,600
03/06/2019,13,555
29/05/2019,13,525
29/05/2019,13,550
27/05/2019,13,620
22/05/2019,13,550
18/05/2019,13,510
10/05/2019,13,550
07/05/2019,13,600
05/05/2019,13,600
17/04/2019,13,565
15/04/2019,13,570
11/04/2019,13,575
04/04/2019,13,625
02/04/2019,13,621
01/04/2019,13,551
28/03/2019,13,575
27/03/2019,13,580
14/03/2019,13,625
12/03/2019,13,621
05/03/2019,13,600
28/02/2019,13,560
26/02/2019,13,515
25/02/2019,13,550
25/02/2019,13,550
13/02/2019,13,520
13/02/2019,13,520
06/02/2019,13,525
30/01/2019,13,569
28/01/2019,13,569
22/01/2019,13,569
12/01/2019,13,501
07/01/2019,13,675
05/01/2019,13,617
03/01/2019,13,626
03/01/2019,13,625
31/12/2018,13,624
27/12/2018,13,550
24/12/2018,13,550
22/12/2018,13,549
21/12/2018,13,475
19/12/2018,13,517
18/12/2018,13,475
13/12/2018,13,515
12/12/2018,13,490
01/12/2018,13,490
28/11/2018,13,452
09/11/2018,13,540
05/11/2018,13,493
04/11/2018,13,539
28/10/2018,13,530
19/10/2018,13,493
11/10/2018,13,465
09/10/2018,13,490
05/10/2018,13,495
01/10/2018,13,475
26/09/2018,13,490
24/09/2018,13,485
22/09/2018,13,463
09/09/2018,13,455
27/08/2018,13,470
24/08/2018,13,469
23/08/2018,13,469
21/08/2018,13,465
10/08/2018,13,435
07/08/2018,13,420
28/07/2018,13,474
27/07/2018,13,470
21/07/2018,13,470
07/07/2018,13,465
21/06/2018,13,475
19/06/2018,13,400
03/06/2018,13,490
02/06/2018,13,520
02/06/2018,13,475
29/05/2018,13,500
26/05/2018,13,450
25/05/2018,13,456
21/05/2018,13,450
18/05/2018,13,445
17/05/2018,13,440
11/05/2018,13,415
04/05/2018,13,415
23/04/2018,13,490
21/04/2018,13,460
10/04/2018,13,420
10/04/2018,13,485
02/04/2018,13,470
28/03/2018,13,480
25/03/2018,13,488
13/03/2018,13,475
28/02/2018,13,490
25/02/2018,13,521
20/02/2018,13,415
19/02/2018,13,400
03/02/2018,13,389
02/02/2018,13,388
29/01/2018,13,360
27/01/2018,13,365
25/01/2018,13,376
23/01/2018,13,366
22/01/2018,13,365
19/01/2018,13,390
18/01/2018,13,370
14/01/2018,13,402
02/01/2018,13,400
28/12/2017,13,390
27/12/2017,13,563
26/12/2017,13,370
21/12/2017,13,573
20/12/2017,13,370
19/12/2017,13,550
14/12/2017,13,550
14/12/2017,13,325
12/12/2017,13,325
11/12/2017,13,550
08/12/2017,13,330
07/12/2017,13,350
05/12/2017,13,341
05/12/2017,13,540
04/12/2017,13,350
04/12/2017,13,475
02/12/2017,13,375
24/11/2017,13,350
20/11/2017,13,550
19/11/2017,13,405
17/11/2017,13,600
03/11/2017,13,305
03/11/2017,13,331
03/11/2017,13,475
31/10/2017,13,335
25/10/2017,13,350
24/10/2017,13,471
23/10/2017,13,350
