ProductActivity__createdAt,ProductActivity__shoeSize,ProductActivity__localAmount
12/04/2021,10,1885
08/04/2021,10,1889
08/04/2021,10,1790
03/04/2021,10,1838
28/03/2021,10,1910
26/03/2021,10,1790
15/03/2021,10,1900
12/03/2021,10,1900
11/02/2021,10,1875
08/02/2021,10,1800
26/01/2021,10,1685
19/01/2021,10,1695
13/01/2021,10,1605
12/01/2021,10,1846
08/01/2021,10,1850
30/12/2020,10,1501
30/12/2020,10,1855
21/12/2020,10,1750
13/12/2020,10,1800
06/12/2020,10,1600
04/12/2020,10,1520
01/12/2020,10,1625
29/11/2020,10,1700
24/11/2020,10,1796
16/11/2020,10,1700
11/11/2020,10,1800
11/11/2020,10,1798
06/11/2020,10,1750
02/11/2020,10,1400
02/11/2020,10,1750
29/10/2020,10,1725
29/10/2020,10,1513
27/10/2020,10,1600
20/10/2020,10,1949
14/10/2020,10,1503
13/10/2020,10,1677
12/10/2020,10,1752
30/09/2020,10,2432
25/09/2020,10,1601
24/09/2020,10,1506
23/09/2020,10,1510
22/09/2020,10,1520
22/09/2020,10,1590
17/09/2020,10,2329
15/09/2020,10,1514
15/09/2020,10,1675
11/09/2020,10,1777
29/08/2020,10,1750
26/08/2020,10,1749
14/08/2020,10,1650
07/08/2020,10,1699
05/08/2020,10,1660
03/08/2020,10,1650
25/07/2020,10,1480
22/07/2020,10,1650
20/07/2020,10,1701
19/07/2020,10,1495
16/07/2020,10,1522
14/07/2020,10,1599
06/07/2020,10,1775
04/07/2020,10,1765
22/06/2020,10,1626
21/06/2020,10,1573
21/06/2020,10,1470
17/06/2020,10,1500
11/06/2020,10,1776
08/06/2020,10,1270
07/06/2020,10,1700
06/06/2020,10,1630
04/06/2020,10,1600
27/05/2020,10,1605
24/05/2020,10,1795
23/05/2020,10,1693
22/05/2020,10,1750
21/05/2020,10,1840
19/05/2020,10,1821
18/05/2020,10,1750
15/05/2020,10,1700
15/05/2020,10,1620
14/05/2020,10,1500
12/05/2020,10,1600
06/05/2020,10,1190
05/05/2020,10,1210
04/05/2020,10,1300
04/05/2020,10,1295
28/04/2020,10,1300
23/04/2020,10,1072
20/04/2020,10,1300
20/04/2020,10,1260
20/04/2020,10,1255
18/04/2020,10,1199
16/04/2020,10,1115
13/04/2020,10,1100
23/03/2020,10,1085
16/03/2020,10,850
14/03/2020,10,1050
11/03/2020,10,1200
10/03/2020,10,1300
09/03/2020,10,1137
07/03/2020,10,1028
28/02/2020,10,1120
18/02/2020,10,1200
11/02/2020,10,1200
11/02/2020,10,1000
09/02/2020,10,975
07/02/2020,10,949
20/01/2020,10,1096
14/01/2020,10,850
07/01/2020,10,932
27/12/2019,10,1033
16/12/2019,10,801
13/12/2019,10,800
13/12/2019,10,795
12/12/2019,10,750
06/12/2019,10,800
04/12/2019,10,703
02/12/2019,10,725
02/12/2019,10,701
02/12/2019,10,780
27/11/2019,10,779
24/11/2019,10,720
22/11/2019,10,735
18/11/2019,10,850
14/11/2019,10,799
13/11/2019,10,800
12/11/2019,10,830
09/11/2019,10,749
06/11/2019,10,850
30/10/2019,10,928
30/10/2019,10,927
24/10/2019,10,733
24/10/2019,10,760
23/10/2019,10,756
17/10/2019,10,730
11/10/2019,10,800
10/10/2019,10,790
08/10/2019,10,790
30/09/2019,10,755
30/09/2019,10,708
24/09/2019,10,783
17/09/2019,10,756
13/09/2019,10,765
11/09/2019,10,770
10/09/2019,10,890
07/09/2019,10,880
06/09/2019,10,788
04/09/2019,10,799
04/09/2019,10,850
02/09/2019,10,895
30/08/2019,10,850
28/08/2019,10,845
25/08/2019,10,815
22/08/2019,10,802
21/08/2019,10,840
18/08/2019,10,833
16/08/2019,10,839
15/08/2019,10,825
13/08/2019,10,800
13/08/2019,10,820
10/08/2019,10,821
09/08/2019,10,800
01/08/2019,10,830
01/08/2019,10,720
31/07/2019,10,825
30/07/2019,10,775
29/07/2019,10,825
25/07/2019,10,790
24/07/2019,10,830
23/07/2019,10,790
21/07/2019,10,856
20/07/2019,10,845
19/07/2019,10,821
18/07/2019,10,830
17/07/2019,10,840
12/07/2019,10,839
10/07/2019,10,777
10/07/2019,10,835
29/06/2019,10,770
28/06/2019,10,756
28/06/2019,10,853
26/06/2019,10,839
26/06/2019,10,770
22/06/2019,10,750
21/06/2019,10,780
19/06/2019,10,799
15/06/2019,10,770
10/06/2019,10,810
10/06/2019,10,805
30/05/2019,10,850
29/05/2019,10,850
23/05/2019,10,850
21/05/2019,10,892
17/05/2019,10,905
15/05/2019,10,918
15/05/2019,10,800
10/05/2019,10,899
09/05/2019,10,876
03/05/2019,10,879
30/04/2019,10,850
27/04/2019,10,875
24/04/2019,10,792
23/04/2019,10,798
20/04/2019,10,840
19/04/2019,10,855
18/04/2019,10,790
15/04/2019,10,875
10/04/2019,10,860
07/04/2019,10,825
06/04/2019,10,850
30/03/2019,10,850
27/03/2019,10,785
27/03/2019,10,790
24/03/2019,10,865
17/03/2019,10,850
16/03/2019,10,839
15/03/2019,10,827
15/03/2019,10,810
07/03/2019,10,826
04/03/2019,10,785
01/03/2019,10,815
28/02/2019,10,815
26/02/2019,10,806
26/02/2019,10,810
21/02/2019,10,795
19/02/2019,10,720
18/02/2019,10,760
09/02/2019,10,770
08/02/2019,10,690
08/02/2019,10,718
03/02/2019,10,730
30/01/2019,10,791
30/01/2019,10,779
29/01/2019,10,735
23/01/2019,10,788
19/01/2019,10,745
19/01/2019,10,722
14/01/2019,10,740
11/01/2019,10,687
08/01/2019,10,715
02/01/2019,10,680
31/12/2018,10,700
26/12/2018,10,685
25/12/2018,10,685
24/12/2018,10,684
23/12/2018,10,690
18/12/2018,10,784
18/12/2018,10,750
16/12/2018,10,784
12/12/2018,10,745
11/12/2018,10,705
