ProductActivity__createdAt,Date,ProductActivity__shoeSize,ProductActivity__localAmount,
05/04/2020,2020-04-05,12,880,
04/04/2020,2020-04-04,12,860,
03/04/2020,2020-04-03,10.5,1098,
03/04/2020,2020-04-03,12,870,
03/04/2020,2020-04-03,13,796,
02/04/2020,2020-04-02,13,750,
02/04/2020,2020-04-02,15,547,
31/03/2020,2020-03-31,9,1150,
31/03/2020,2020-03-31,10.5,1020,
31/03/2020,2020-03-31,13,725,
30/03/2020,2020-03-30,11,1000,
29/03/2020,2020-03-29,13,710,
29/03/2020,2020-03-29,14,698,
28/03/2020,2020-03-28,9.5,1100,
27/03/2020,2020-03-27,10.5,990,
27/03/2020,2020-03-27,11,915,
27/03/2020,2020-03-27,11,906,
27/03/2020,2020-03-27,13,731,
26/03/2020,2020-03-26,11,900,
25/03/2020,2020-03-25,8,1639,
25/03/2020,2020-03-25,10.5,955,
24/03/2020,2020-03-24,9,1050,
24/03/2020,2020-03-24,9.5,1100,
24/03/2020,2020-03-24,10.5,940,
23/03/2020,2020-03-23,10,1085,
23/03/2020,2020-03-23,11,900,
22/03/2020,2020-03-22,9.5,900,
21/03/2020,2020-03-21,8,975,
21/03/2020,2020-03-21,9.5,1099,
21/03/2020,2020-03-21,11,851,
20/03/2020,2020-03-20,10.5,900,
19/03/2020,2020-03-19,10.5,985,
18/03/2020,2020-03-18,8,1097,
18/03/2020,2020-03-18,11,850,
18/03/2020,2020-03-18,12,970,
18/03/2020,2020-03-18,13,700,
17/03/2020,2020-03-17,8.5,1050,
17/03/2020,2020-03-17,9,1001,
16/03/2020,2020-03-16,9.5,1000,
16/03/2020,2020-03-16,10,850,
15/03/2020,2020-03-15,9.5,1100,
15/03/2020,2020-03-15,11,759,
15/03/2020,2020-03-15,11,799,
15/03/2020,2020-03-15,12,850,
14/03/2020,2020-03-14,10,1050,
13/03/2020,2020-03-13,11,783,
12/03/2020,2020-03-12,9,1197,
12/03/2020,2020-03-12,17,699,
11/03/2020,2020-03-11,9,1196,
11/03/2020,2020-03-11,10,1200,
11/03/2020,2020-03-11,11,769,
11/03/2020,2020-03-11,11.5,984,
11/03/2020,2020-03-11,12,840,
11/03/2020,2020-03-11,15,560,
10/03/2020,2020-03-10,10,1300,
10/03/2020,2020-03-10,12,820,
09/03/2020,2020-03-09,9,1000,
09/03/2020,2020-03-09,9,1092,
09/03/2020,2020-03-09,9.5,1100,
09/03/2020,2020-03-09,10,1137,
09/03/2020,2020-03-09,12,800,
08/03/2020,2020-03-08,13,790,
07/03/2020,2020-03-07,8.5,1050,
07/03/2020,2020-03-07,10,1028,
06/03/2020,2020-03-06,10.5,949,
06/03/2020,2020-03-06,13,706,
06/03/2020,2020-03-06,13,749,
04/03/2020,2020-03-04,11,880,
02/03/2020,2020-03-02,9,975,
02/03/2020,2020-03-02,9,1000,
02/03/2020,2020-03-02,9.5,1001,
02/03/2020,2020-03-02,11,751,
02/03/2020,2020-03-02,12,711,
02/03/2020,2020-03-02,13,689,
01/03/2020,2020-03-01,7.5,1528,
29/02/2020,2020-02-29,9,1095,
28/02/2020,2020-02-28,9.5,1150,
28/02/2020,2020-02-28,9.5,1050,
28/02/2020,2020-02-28,10,1120,
28/02/2020,2020-02-28,11.5,770,
27/02/2020,2020-02-27,9.5,1085,
27/02/2020,2020-02-27,9.5,1087,
27/02/2020,2020-02-27,10.5,1042,
27/02/2020,2020-02-27,13,669,
25/02/2020,2020-02-25,10.5,950,
25/02/2020,2020-02-25,11.5,775,
25/02/2020,2020-02-25,12,850,
25/02/2020,2020-02-25,13,665,
23/02/2020,2020-02-23,8.5,1225,
23/02/2020,2020-02-23,14,610,
21/02/2020,2020-02-21,8,1150,
21/02/2020,2020-02-21,9,1140,
21/02/2020,2020-02-21,11.5,780,
20/02/2020,2020-02-20,9,950,
20/02/2020,2020-02-20,9.5,1150,
20/02/2020,2020-02-20,10.5,1000,
20/02/2020,2020-02-20,10.5,968,
18/02/2020,2020-02-18,8,1100,
18/02/2020,2020-02-18,10,1200,
18/02/2020,2020-02-18,13,710,
17/02/2020,2020-02-17,9,988,
17/02/2020,2020-02-17,11,900,
16/02/2020,2020-02-16,7,1099,
15/02/2020,2020-02-15,10.5,968,
15/02/2020,2020-02-15,11.5,746,
15/02/2020,2020-02-15,13,690,
14/02/2020,2020-02-14,9.5,1100,
14/02/2020,2020-02-14,12,780,
13/02/2020,2020-02-13,10.5,950,
12/02/2020,2020-02-12,10.5,950,
11/02/2020,2020-02-11,9.5,1000,
11/02/2020,2020-02-11,10,1200,
11/02/2020,2020-02-11,10,1000,
11/02/2020,2020-02-11,11.5,750,
10/02/2020,2020-02-10,13,700,
09/02/2020,2020-02-09,10,975,
08/02/2020,2020-02-08,9.5,905,
07/02/2020,2020-02-07,9,1044,
07/02/2020,2020-02-07,10,949,
07/02/2020,2020-02-07,11.5,742,
07/02/2020,2020-02-07,11.5,741,
06/02/2020,2020-02-06,13,690,
04/02/2020,2020-02-04,8,1175,
04/02/2020,2020-02-04,10.5,899,
03/02/2020,2020-02-03,11.5,706,
02/02/2020,2020-02-02,10.5,880,
01/02/2020,2020-02-01,8,1150,
01/02/2020,2020-02-01,9,980,
01/02/2020,2020-02-01,10.5,850,
01/02/2020,2020-02-01,13,650,
31/01/2020,2020-01-31,8,1376,
31/01/2020,2020-01-31,9,1025,
30/01/2020,2020-01-30,9,940,
30/01/2020,2020-01-30,9.5,1250,
30/01/2020,2020-01-30,13,625,
29/01/2020,2020-01-29,13,623,
29/01/2020,2020-01-29,15,450,
28/01/2020,2020-01-28,9.5,1175,
28/01/2020,2020-01-28,13,580,
27/01/2020,2020-01-27,13,545,
24/01/2020,2020-01-24,13,625,
23/01/2020,2020-01-23,10.5,815,
22/01/2020,2020-01-22,12,666,
21/01/2020,2020-01-21,11,838,
20/01/2020,2020-01-20,10,1096,
20/01/2020,2020-01-20,11,850,
20/01/2020,2020-01-20,11,840,
20/01/2020,2020-01-20,12,660,
20/01/2020,2020-01-20,12,677,
20/01/2020,2020-01-20,13,620,
20/01/2020,2020-01-20,16,399,
19/01/2020,2020-01-19,8.5,1245,
19/01/2020,2020-01-19,12,690,
18/01/2020,2020-01-18,8,1113,
18/01/2020,2020-01-18,11,849,
16/01/2020,2020-01-16,8.5,1179,
15/01/2020,2020-01-15,9,1100,
15/01/2020,2020-01-15,9.5,1199,
15/01/2020,2020-01-15,11,808,
15/01/2020,2020-01-15,11,800,
14/01/2020,2020-01-14,10,850,
13/01/2020,2020-01-13,8.5,1012,
13/01/2020,2020-01-13,13,620,
12/01/2020,2020-01-12,11,795,
11/01/2020,2020-01-11,9.5,1042,
11/01/2020,2020-01-11,11,765,
11/01/2020,2020-01-11,13,595,
10/01/2020,2020-01-10,9,1060,
10/01/2020,2020-01-10,14,625,
09/01/2020,2020-01-09,9,1000,
08/01/2020,2020-01-08,9.5,800,
08/01/2020,2020-01-08,10.5,1076,
08/01/2020,2020-01-08,13,607,
07/01/2020,2020-01-07,9.5,1100,
07/01/2020,2020-01-07,10,932,
07/01/2020,2020-01-07,11,797,
07/01/2020,2020-01-07,13,572,
06/01/2020,2020-01-06,11,799,
06/01/2020,2020-01-06,13,564,
05/01/2020,2020-01-05,9,930,
05/01/2020,2020-01-05,9.5,970,
05/01/2020,2020-01-05,13,563,
05/01/2020,2020-01-05,16,385,
04/01/2020,2020-01-04,11,799,
04/01/2020,2020-01-04,11.5,785,
04/01/2020,2020-01-04,13,555,
03/01/2020,2020-01-03,9.5,990,
02/01/2020,2020-01-02,9.5,860,
02/01/2020,2020-01-02,11,797,
01/01/2020,2020-01-01,13,560,
31/12/2019,2019-12-31,9,892,
31/12/2019,2019-12-31,9.5,910,
31/12/2019,2019-12-31,11,650,
31/12/2019,2019-12-31,12,700,
31/12/2019,2019-12-31,13,567,
29/12/2019,2019-12-29,7,839,
29/12/2019,2019-12-29,9,1000,
29/12/2019,2019-12-29,9,1265,
28/12/2019,2019-12-28,8,950,
28/12/2019,2019-12-28,11,788,
28/12/2019,2019-12-28,11,710,
27/12/2019,2019-12-27,10,1033,
27/12/2019,2019-12-27,11,744,
27/12/2019,2019-12-27,11,695,
26/12/2019,2019-12-26,11.5,699,
24/12/2019,2019-12-24,9,1249,
24/12/2019,2019-12-24,10.5,818,
24/12/2019,2019-12-24,10.5,801,
23/12/2019,2019-12-23,9,900,
23/12/2019,2019-12-23,9,955,
22/12/2019,2019-12-22,12,700,
20/12/2019,2019-12-20,9,910,
20/12/2019,2019-12-20,14,585,
19/12/2019,2019-12-19,9.5,805,
19/12/2019,2019-12-19,10.5,779,
19/12/2019,2019-12-19,12,705,
18/12/2019,2019-12-18,11,700,
18/12/2019,2019-12-18,12,682,
17/12/2019,2019-12-17,10.5,660,
16/12/2019,2019-12-16,9,860,
16/12/2019,2019-12-16,10,801,
15/12/2019,2019-12-15,11.5,748,
15/12/2019,2019-12-15,12,700,
14/12/2019,2019-12-14,12,700,
14/12/2019,2019-12-14,13,510,
13/12/2019,2019-12-13,10,800,
13/12/2019,2019-12-13,10,795,
13/12/2019,2019-12-13,12,694,
13/12/2019,2019-12-13,12,675,
13/12/2019,2019-12-13,14,500,
12/12/2019,2019-12-12,10,750,
12/12/2019,2019-12-12,10.5,722,
11/12/2019,2019-12-11,10.5,685,
11/12/2019,2019-12-11,11.5,601,
11/12/2019,2019-12-11,12,670,
10/12/2019,2019-12-10,8,970,
10/12/2019,2019-12-10,8.5,1050,
10/12/2019,2019-12-10,9,965,
10/12/2019,2019-12-10,10.5,780,
10/12/2019,2019-12-10,16,398,
09/12/2019,2019-12-09,8.5,1000,
09/12/2019,2019-12-09,11.5,750,
09/12/2019,2019-12-09,12,675,
08/12/2019,2019-12-08,11,727,
08/12/2019,2019-12-08,13,550,
08/12/2019,2019-12-08,14,553,
06/12/2019,2019-12-06,8.5,1319,
06/12/2019,2019-12-06,8.5,800,
06/12/2019,2019-12-06,9.5,1031,
06/12/2019,2019-12-06,10,800,
06/12/2019,2019-12-06,10.5,699,
06/12/2019,2019-12-06,11,780,
06/12/2019,2019-12-06,17,300,
05/12/2019,2019-12-05,8,875,
05/12/2019,2019-12-05,9,926,
05/12/2019,2019-12-05,9.5,1020,
04/12/2019,2019-12-04,10,703,
04/12/2019,2019-12-04,10.5,680,
04/12/2019,2019-12-04,11,720,
04/12/2019,2019-12-04,11.5,697,
04/12/2019,2019-12-04,12,693,
04/12/2019,2019-12-04,13,600,
03/12/2019,2019-12-03,10.5,725,
03/12/2019,2019-12-03,11,730,
03/12/2019,2019-12-03,11,710,
03/12/2019,2019-12-03,11.5,695,
02/12/2019,2019-12-02,8,850,
02/12/2019,2019-12-02,8,855,
02/12/2019,2019-12-02,9.5,870,
02/12/2019,2019-12-02,10,725,
02/12/2019,2019-12-02,10,701,
02/12/2019,2019-12-02,10,780,
02/12/2019,2019-12-02,11,763,
30/11/2019,2019-11-30,9,999,
30/11/2019,2019-11-30,12,675,
29/11/2019,2019-11-29,11,800,
29/11/2019,2019-11-29,12,801,
29/11/2019,2019-11-29,12,699,
28/11/2019,2019-11-28,9.5,820,
27/11/2019,2019-11-27,9.5,1000,
27/11/2019,2019-11-27,10,779,
27/11/2019,2019-11-27,11,799,
27/11/2019,2019-11-27,11.5,690,
26/11/2019,2019-11-26,11.5,640,
26/11/2019,2019-11-26,12,680,
25/11/2019,2019-11-25,9.5,950,
25/11/2019,2019-11-25,11.5,734,
24/11/2019,2019-11-24,8.5,801,
24/11/2019,2019-11-24,9.5,850,
24/11/2019,2019-11-24,10,720,
23/11/2019,2019-11-23,11,685,
22/11/2019,2019-11-22,8.5,802,
22/11/2019,2019-11-22,9,845,
22/11/2019,2019-11-22,10,735,
22/11/2019,2019-11-22,10.5,780,
21/11/2019,2019-11-21,9.5,890,
21/11/2019,2019-11-21,11,776,
21/11/2019,2019-11-21,11.5,715,
21/11/2019,2019-11-21,12,680,
20/11/2019,2019-11-20,8,1000,
20/11/2019,2019-11-20,8.5,950,
20/11/2019,2019-11-20,9,900,
20/11/2019,2019-11-20,9,876,
20/11/2019,2019-11-20,9.5,900,
19/11/2019,2019-11-19,12,680,
18/11/2019,2019-11-18,10,850,
18/11/2019,2019-11-18,12,640,
16/11/2019,2019-11-16,10.5,775,
15/11/2019,2019-11-15,10.5,760,
15/11/2019,2019-11-15,11,775,
14/11/2019,2019-11-14,9,900,
14/11/2019,2019-11-14,10,799,
14/11/2019,2019-11-14,10.5,735,
14/11/2019,2019-11-14,13,575,
14/11/2019,2019-11-14,13,570,
13/11/2019,2019-11-13,8,849,
13/11/2019,2019-11-13,10,800,
13/11/2019,2019-11-13,11,768,
12/11/2019,2019-11-12,10,830,
11/11/2019,2019-11-11,9.5,1015,
11/11/2019,2019-11-11,9.5,990,
11/11/2019,2019-11-11,13,563,
10/11/2019,2019-11-10,9,880,
10/11/2019,2019-11-10,13,531,
09/11/2019,2019-11-09,10,749,
08/11/2019,2019-11-08,7.5,1200,
08/11/2019,2019-11-08,9,875,
08/11/2019,2019-11-08,12,665,
07/11/2019,2019-11-07,8.5,948,
07/11/2019,2019-11-07,8.5,920,
07/11/2019,2019-11-07,9.5,781,
07/11/2019,2019-11-07,11,753,
06/11/2019,2019-11-06,9.5,782,
06/11/2019,2019-11-06,10,850,
06/11/2019,2019-11-06,10.5,769,
06/11/2019,2019-11-06,10.5,750,
06/11/2019,2019-11-06,11.5,780,
05/11/2019,2019-11-05,11.5,775,
04/11/2019,2019-11-04,11,739,
04/11/2019,2019-11-04,11,681,
04/11/2019,2019-11-04,17,300,
03/11/2019,2019-11-03,8.5,800,
03/11/2019,2019-11-03,8.5,800,
02/11/2019,2019-11-02,11,775,
01/11/2019,2019-11-01,11,700,
01/11/2019,2019-11-01,11.5,726,
01/11/2019,2019-11-01,12,559,
01/11/2019,2019-11-01,12,615,
31/10/2019,2019-10-31,10.5,725,
31/10/2019,2019-10-31,11,690,
31/10/2019,2019-10-31,11,680,
31/10/2019,2019-10-31,11,684,
31/10/2019,2019-10-31,13,505,
30/10/2019,2019-10-30,9.5,995,
30/10/2019,2019-10-30,10,928,
30/10/2019,2019-10-30,10,927,
29/10/2019,2019-10-29,11,665,
27/10/2019,2019-10-27,10.5,798,
27/10/2019,2019-10-27,11,690,
26/10/2019,2019-10-26,11.5,750,
25/10/2019,2019-10-25,12,647,
25/10/2019,2019-10-25,13,545,
24/10/2019,2019-10-24,10,733,
24/10/2019,2019-10-24,10,760,
24/10/2019,2019-10-24,10.5,805,
23/10/2019,2019-10-23,9.5,850,
23/10/2019,2019-10-23,10,756,
23/10/2019,2019-10-23,11,606,
23/10/2019,2019-10-23,15,530,
23/10/2019,2019-10-23,18,191,
21/10/2019,2019-10-21,11,690,
21/10/2019,2019-10-21,17,227,
20/10/2019,2019-10-20,13,551,
18/10/2019,2019-10-18,10.5,642,
18/10/2019,2019-10-18,11,651,
18/10/2019,2019-10-18,11.5,650,
17/10/2019,2019-10-17,9.5,750,
17/10/2019,2019-10-17,9.5,751,
17/10/2019,2019-10-17,10,730,
17/10/2019,2019-10-17,12,640,
17/10/2019,2019-10-17,13,505,
17/10/2019,2019-10-17,13,530,
16/10/2019,2019-10-16,11.5,651,
15/10/2019,2019-10-15,7,700,
11/10/2019,2019-10-11,8,1050,
11/10/2019,2019-10-11,10,800,
11/10/2019,2019-10-11,11,727,
11/10/2019,2019-10-11,11.5,650,
10/10/2019,2019-10-10,8.5,966,
10/10/2019,2019-10-10,10,790,
10/10/2019,2019-10-10,10.5,849,
09/10/2019,2019-10-09,10.5,835,
09/10/2019,2019-10-09,17,420,
08/10/2019,2019-10-08,7,750,
08/10/2019,2019-10-08,9,990,
08/10/2019,2019-10-08,10,790,
08/10/2019,2019-10-08,11,759,
07/10/2019,2019-10-07,8.5,829,
07/10/2019,2019-10-07,9,841,
07/10/2019,2019-10-07,9,955,
07/10/2019,2019-10-07,9,879,
07/10/2019,2019-10-07,9.5,999,
07/10/2019,2019-10-07,9.5,988,
07/10/2019,2019-10-07,10.5,834,
06/10/2019,2019-10-06,11,750,
06/10/2019,2019-10-06,11,725,
06/10/2019,2019-10-06,11.5,675,
05/10/2019,2019-10-05,12,650,
05/10/2019,2019-10-05,12,675,
04/10/2019,2019-10-04,11,745,
04/10/2019,2019-10-04,12,669,
04/10/2019,2019-10-04,13,532,
04/10/2019,2019-10-04,13,515,
03/10/2019,2019-10-03,9,920,
03/10/2019,2019-10-03,9.5,945,
03/10/2019,2019-10-03,9.5,820,
03/10/2019,2019-10-03,9.5,839,
02/10/2019,2019-10-02,8.5,924,
02/10/2019,2019-10-02,11,718,
02/10/2019,2019-10-02,13,500,
30/09/2019,2019-09-30,10,755,
30/09/2019,2019-09-30,10,708,
30/09/2019,2019-09-30,10.5,651,
29/09/2019,2019-09-29,8,950,
29/09/2019,2019-09-29,8,900,
29/09/2019,2019-09-29,8.5,829,
29/09/2019,2019-09-29,8.5,949,
29/09/2019,2019-09-29,10.5,779,
29/09/2019,2019-09-29,12,664,
28/09/2019,2019-09-28,8,900,
28/09/2019,2019-09-28,14,491,
27/09/2019,2019-09-27,10.5,705,
27/09/2019,2019-09-27,10.5,815,
27/09/2019,2019-09-27,10.5,800,
27/09/2019,2019-09-27,11,678,
27/09/2019,2019-09-27,13,490,
25/09/2019,2019-09-25,10.5,801,
24/09/2019,2019-09-24,10,783,
24/09/2019,2019-09-24,12,665,
23/09/2019,2019-09-23,10.5,775,
22/09/2019,2019-09-22,10.5,780,
20/09/2019,2019-09-20,8.5,950,
20/09/2019,2019-09-20,9,945,
20/09/2019,2019-09-20,10.5,780,
20/09/2019,2019-09-20,11,787,
19/09/2019,2019-09-19,10.5,726,
19/09/2019,2019-09-19,11,785,
19/09/2019,2019-09-19,17,700,
19/09/2019,2019-09-19,17,349,
18/09/2019,2019-09-18,9.5,950,
18/09/2019,2019-09-18,11,782,
17/09/2019,2019-09-17,8.5,800,
17/09/2019,2019-09-17,10,756,
17/09/2019,2019-09-17,11.5,667,
16/09/2019,2019-09-16,8.5,900,
16/09/2019,2019-09-16,11,740,
15/09/2019,2019-09-15,12,641,
15/09/2019,2019-09-15,12,671,
14/09/2019,2019-09-14,9,824,
14/09/2019,2019-09-14,11,750,
14/09/2019,2019-09-14,11,675,
14/09/2019,2019-09-14,11,720,
13/09/2019,2019-09-13,9,840,
13/09/2019,2019-09-13,10,765,
11/09/2019,2019-09-11,8,927,
11/09/2019,2019-09-11,8,928,
11/09/2019,2019-09-11,9.5,855,
11/09/2019,2019-09-11,10,770,
11/09/2019,2019-09-11,11.5,692,
10/09/2019,2019-09-10,10,890,
10/09/2019,2019-09-10,12,650,
09/09/2019,2019-09-09,11.5,695,
08/09/2019,2019-09-08,13,567,
07/09/2019,2019-09-07,10,880,
07/09/2019,2019-09-07,10.5,789,
07/09/2019,2019-09-07,11,789,
07/09/2019,2019-09-07,11,785,
06/09/2019,2019-09-06,9,846,
06/09/2019,2019-09-06,10,788,
06/09/2019,2019-09-06,10.5,750,
06/09/2019,2019-09-06,11.5,693,
05/09/2019,2019-09-05,9.5,840,
05/09/2019,2019-09-05,11.5,630,
05/09/2019,2019-09-05,13,565,
04/09/2019,2019-09-04,10,799,
04/09/2019,2019-09-04,10,850,
03/09/2019,2019-09-03,8.5,1049,
03/09/2019,2019-09-03,12,695,
02/09/2019,2019-09-02,9,973,
02/09/2019,2019-09-02,10,895,
02/09/2019,2019-09-02,14,490,
01/09/2019,2019-09-01,9,865,
01/09/2019,2019-09-01,9,936,
01/09/2019,2019-09-01,10.5,750,
01/09/2019,2019-09-01,11,789,
31/08/2019,2019-08-31,8.5,926,
31/08/2019,2019-08-31,11,750,
31/08/2019,2019-08-31,11,750,
31/08/2019,2019-08-31,12,675,
30/08/2019,2019-08-30,8.5,1044,
30/08/2019,2019-08-30,9,978,
30/08/2019,2019-08-30,10,850,
30/08/2019,2019-08-30,10.5,750,
30/08/2019,2019-08-30,15,500,
29/08/2019,2019-08-29,9,999,
29/08/2019,2019-08-29,11,700,
29/08/2019,2019-08-29,13,485,
28/08/2019,2019-08-28,9.5,859,
28/08/2019,2019-08-28,10,845,
28/08/2019,2019-08-28,10.5,750,
28/08/2019,2019-08-28,11,735,
27/08/2019,2019-08-27,9,970,
27/08/2019,2019-08-27,11,734,
25/08/2019,2019-08-25,10,815,
25/08/2019,2019-08-25,12,665,
24/08/2019,2019-08-24,7,1275,
23/08/2019,2019-08-23,11,701,
23/08/2019,2019-08-23,14,528,
22/08/2019,2019-08-22,8,1199,
22/08/2019,2019-08-22,9,930,
22/08/2019,2019-08-22,10,802,
21/08/2019,2019-08-21,10,840,
21/08/2019,2019-08-21,11,680,
21/08/2019,2019-08-21,11.5,635,
20/08/2019,2019-08-20,10.5,735,
20/08/2019,2019-08-20,13,490,
19/08/2019,2019-08-19,8.5,985,
19/08/2019,2019-08-19,8.5,985,
19/08/2019,2019-08-19,12,650,
18/08/2019,2019-08-18,8.5,961,
18/08/2019,2019-08-18,10,833,
18/08/2019,2019-08-18,10.5,710,
18/08/2019,2019-08-18,10.5,715,
17/08/2019,2019-08-17,8.5,960,
16/08/2019,2019-08-16,10,839,
16/08/2019,2019-08-16,13,560,
15/08/2019,2019-08-15,9,881,
15/08/2019,2019-08-15,10,825,
15/08/2019,2019-08-15,13,555,
13/08/2019,2019-08-13,9,945,
13/08/2019,2019-08-13,10,800,
13/08/2019,2019-08-13,10,820,
13/08/2019,2019-08-13,11,730,
13/08/2019,2019-08-13,12,659,
12/08/2019,2019-08-12,9,945,
12/08/2019,2019-08-12,9.5,985,
12/08/2019,2019-08-12,10.5,744,
12/08/2019,2019-08-12,11.5,610,
12/08/2019,2019-08-12,11.5,660,
12/08/2019,2019-08-12,13,500,
11/08/2019,2019-08-11,8,1050,
10/08/2019,2019-08-10,8.5,899,
10/08/2019,2019-08-10,9,912,
10/08/2019,2019-08-10,9.5,900,
10/08/2019,2019-08-10,10,821,
09/08/2019,2019-08-09,9.5,950,
09/08/2019,2019-08-09,10,800,
09/08/2019,2019-08-09,10.5,740,
09/08/2019,2019-08-09,12,680,
08/08/2019,2019-08-08,11,759,
08/08/2019,2019-08-08,14,520,
07/08/2019,2019-08-07,13,565,
06/08/2019,2019-08-06,9,909,
06/08/2019,2019-08-06,10.5,685,
06/08/2019,2019-08-06,13,505,
05/08/2019,2019-08-05,11.5,661,
05/08/2019,2019-08-05,11.5,670,
05/08/2019,2019-08-05,14,475,
04/08/2019,2019-08-04,8.5,900,
04/08/2019,2019-08-04,9.5,925,
04/08/2019,2019-08-04,11,720,
03/08/2019,2019-08-03,12,684,
02/08/2019,2019-08-02,8,1140,
02/08/2019,2019-08-02,9,890,
02/08/2019,2019-08-02,9.5,880,
02/08/2019,2019-08-02,13,506,
02/08/2019,2019-08-02,13,520,
01/08/2019,2019-08-01,10,830,
01/08/2019,2019-08-01,10,720,
01/08/2019,2019-08-01,10.5,690,
31/07/2019,2019-07-31,9.5,803,
31/07/2019,2019-07-31,10,825,
30/07/2019,2019-07-30,9.5,803,
30/07/2019,2019-07-30,10,775,
30/07/2019,2019-07-30,10.5,688,
30/07/2019,2019-07-30,14,505,
29/07/2019,2019-07-29,10,825,
29/07/2019,2019-07-29,12,670,
29/07/2019,2019-07-29,12,670,
28/07/2019,2019-07-28,9,920,
27/07/2019,2019-07-27,10.5,685,
27/07/2019,2019-07-27,12,635,
27/07/2019,2019-07-27,12,628,
27/07/2019,2019-07-27,13,550,
26/07/2019,2019-07-26,9.5,810,
25/07/2019,2019-07-25,10,790,
25/07/2019,2019-07-25,10.5,690,
25/07/2019,2019-07-25,10.5,750,
24/07/2019,2019-07-24,8,1200,
24/07/2019,2019-07-24,10,830,
24/07/2019,2019-07-24,10.5,691,
23/07/2019,2019-07-23,7.5,989,
23/07/2019,2019-07-23,9,910,
23/07/2019,2019-07-23,10,790,
23/07/2019,2019-07-23,10.5,730,
23/07/2019,2019-07-23,11.5,660,
23/07/2019,2019-07-23,11.5,659,
22/07/2019,2019-07-22,8.5,1015,
22/07/2019,2019-07-22,10.5,715,
22/07/2019,2019-07-22,10.5,835,
21/07/2019,2019-07-21,10,856,
21/07/2019,2019-07-21,12,675,
20/07/2019,2019-07-20,8,913,
20/07/2019,2019-07-20,8.5,923,
20/07/2019,2019-07-20,10,845,
19/07/2019,2019-07-19,8,980,
19/07/2019,2019-07-19,9,955,
19/07/2019,2019-07-19,9.5,890,
19/07/2019,2019-07-19,10,821,
19/07/2019,2019-07-19,10.5,775,
19/07/2019,2019-07-19,11.5,662,
19/07/2019,2019-07-19,11.5,651,
19/07/2019,2019-07-19,12,600,
19/07/2019,2019-07-19,12,707,
18/07/2019,2019-07-18,8.5,1019,
18/07/2019,2019-07-18,8.5,1019,
18/07/2019,2019-07-18,9.5,936,
18/07/2019,2019-07-18,10,830,
18/07/2019,2019-07-18,10.5,865,
18/07/2019,2019-07-18,18,339,
17/07/2019,2019-07-17,9,970,
17/07/2019,2019-07-17,9.5,925,
17/07/2019,2019-07-17,10,840,
17/07/2019,2019-07-17,10.5,794,
17/07/2019,2019-07-17,11,849,
16/07/2019,2019-07-16,7.5,985,
16/07/2019,2019-07-16,8.5,951,
16/07/2019,2019-07-16,9,1000,
16/07/2019,2019-07-16,11,760,
16/07/2019,2019-07-16,13,560,
15/07/2019,2019-07-15,15,500,
14/07/2019,2019-07-14,8.5,1050,
12/07/2019,2019-07-12,10,839,
12/07/2019,2019-07-12,10.5,767,
12/07/2019,2019-07-12,11.5,650,
11/07/2019,2019-07-11,7.5,801,
10/07/2019,2019-07-10,10,777,
10/07/2019,2019-07-10,10,835,
10/07/2019,2019-07-10,11,730,
10/07/2019,2019-07-10,11.5,700,
09/07/2019,2019-07-09,9,1023,
09/07/2019,2019-07-09,10.5,775,
08/07/2019,2019-07-08,9.5,950,
08/07/2019,2019-07-08,10.5,700,
08/07/2019,2019-07-08,10.5,775,
08/07/2019,2019-07-08,10.5,760,
08/07/2019,2019-07-08,13,524,
07/07/2019,2019-07-07,9.5,949,
07/07/2019,2019-07-07,12,700,
07/07/2019,2019-07-07,13,551,
06/07/2019,2019-07-06,8.5,955,
06/07/2019,2019-07-06,10.5,750,
06/07/2019,2019-07-06,14,538,
05/07/2019,2019-07-05,11.5,722,
05/07/2019,2019-07-05,12,690,
04/07/2019,2019-07-04,9.5,900,
04/07/2019,2019-07-04,9.5,865,
04/07/2019,2019-07-04,13,595,
03/07/2019,2019-07-03,8,925,
03/07/2019,2019-07-03,9,950,
03/07/2019,2019-07-03,9.5,940,
03/07/2019,2019-07-03,9.5,935,
03/07/2019,2019-07-03,12,690,
03/07/2019,2019-07-03,12,651,
03/07/2019,2019-07-03,12,590,
02/07/2019,2019-07-02,8,1100,
02/07/2019,2019-07-02,9,901,
02/07/2019,2019-07-02,9,960,
02/07/2019,2019-07-02,11,605,
02/07/2019,2019-07-02,11,750,
02/07/2019,2019-07-02,12,680,
01/07/2019,2019-07-01,13,570,
30/06/2019,2019-06-30,8.5,838,
29/06/2019,2019-06-29,10,770,
28/06/2019,2019-06-28,8.5,842,
28/06/2019,2019-06-28,9,915,
28/06/2019,2019-06-28,9,860,
28/06/2019,2019-06-28,9.5,825,
28/06/2019,2019-06-28,10,756,
28/06/2019,2019-06-28,10,853,
28/06/2019,2019-06-28,10.5,795,
28/06/2019,2019-06-28,12,675,
27/06/2019,2019-06-27,7.5,801,
26/06/2019,2019-06-26,10,839,
26/06/2019,2019-06-26,10,770,
26/06/2019,2019-06-26,11,746,
25/06/2019,2019-06-25,9.5,830,
25/06/2019,2019-06-25,12,675,
25/06/2019,2019-06-25,13,590,
23/06/2019,2019-06-23,9.5,825,
23/06/2019,2019-06-23,9.5,787,
23/06/2019,2019-06-23,11,712,
22/06/2019,2019-06-22,9.5,780,
