ProductActivity__createdAt,ProductActivity__shoeSize,ProductActivity__localAmount
24/02/2021,14,1300
09/11/2020,14,901
05/10/2020,14,810
29/09/2020,14,1000
19/07/2020,14,1000
30/06/2020,14,1300
25/06/2020,14,1001
11/06/2020,14,1005
08/05/2020,14,999
21/04/2020,14,677
29/03/2020,14,698
23/02/2020,14,610
10/01/2020,14,625
20/12/2019,14,585
13/12/2019,14,500
08/12/2019,14,553
28/09/2019,14,491
02/09/2019,14,490
23/08/2019,14,528
08/08/2019,14,520
05/08/2019,14,475
30/07/2019,14,505
06/07/2019,14,538
19/06/2019,14,468
31/05/2019,14,540
30/05/2019,14,490
29/05/2019,14,530
16/05/2019,14,526
24/04/2019,14,523
22/03/2019,14,545
29/01/2019,14,485
26/01/2019,14,480
15/01/2019,14,506
25/12/2018,14,520
10/12/2018,14,450
27/11/2018,14,500
27/11/2018,14,501
31/10/2018,14,420
26/10/2018,14,474
26/10/2018,14,470
25/10/2018,14,420
15/08/2018,14,495
14/07/2018,14,457
06/07/2018,14,475
30/05/2018,14,535
06/04/2018,14,535
03/04/2018,14,540
26/03/2018,14,465
02/03/2018,14,406
24/02/2018,14,500
13/02/2018,14,405
25/01/2018,14,400
19/11/2017,14,365
01/11/2017,14,310
28/10/2017,14,600
20/10/2017,14,461
23/08/2017,14,320
18/07/2017,14,450
25/06/2017,14,350
19/06/2017,14,350
15/05/2017,14,500
28/02/2017,14,425
25/02/2017,14,500
24/01/2017,14,350
22/12/2016,14,522
18/11/2016,14,466
31/10/2016,14,500
25/10/2016,14,395
15/09/2016,14,465
20/08/2016,14,450
07/08/2016,14,400
19/07/2016,14,422
30/06/2016,14,400
30/06/2016,14,400
02/06/2016,14,450
18/04/2016,14,457
10/04/2016,14,400
08/04/2016,14,339
17/03/2016,14,250
16/03/2016,14,300
17/02/2016,14,375
13/02/2016,14,280
24/12/2015,14,450
21/12/2015,14,345
13/12/2015,14,340
04/12/2015,14,340
30/11/2015,14,450
26/11/2015,14,355
24/11/2015,14,425
23/11/2015,14,400
18/11/2015,14,345
12/11/2015,14,425
17/10/2015,14,400
25/06/2015,14,650
22/06/2015,14,650
11/06/2015,14,380
04/06/2015,14,500
03/06/2015,14,500
02/06/2015,14,500
02/06/2015,14,500
